BIN;Bank
220001;Банк ГПБ (АО)
900101;Банк ГПБ (АО)
22000101;Банк ГПБ (АО)
22000102;Банк ГПБ (АО)
22000103;Банк ГПБ (АО)
22000104;Банк ГПБ (АО)
22000105;Банк ГПБ (АО)
22000106;Банк ГПБ (АО)
356299;Банк ГПБ (АО)
676454;Банк ГПБ (АО)
900100;Банк ГПБ (АО)
220016;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
901601;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
22001601;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
22001602;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
22001603;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
22001604;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
677384;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
901600;"ПАО ""ЧЕЛЯБИНВЕСТБАНК"""
900300;"ПАО ""Промсвязьбанк"""
220003;"ПАО ""Промсвязьбанк"""
220006;"ПАО ""Промсвязьбанк"""
220153;"ПАО ""Промсвязьбанк"""
900301;"ПАО ""Промсвязьбанк"""
900302;"ПАО ""Промсвязьбанк"""
900601;"ПАО ""Промсвязьбанк"""
22000301;"ПАО ""Промсвязьбанк"""
22000302;"ПАО ""Промсвязьбанк"""
22000303;"ПАО ""Промсвязьбанк"""
22000304;"ПАО ""Промсвязьбанк"""
22000305;"ПАО ""Промсвязьбанк"""
22000306;"ПАО ""Промсвязьбанк"""
22000307;"ПАО ""Промсвязьбанк"""
22000308;"ПАО ""Промсвязьбанк"""
22000601;"ПАО ""Промсвязьбанк"""
22000602;"ПАО ""Промсвязьбанк"""
22000603;"ПАО ""Промсвязьбанк"""
22000604;"ПАО ""Промсвязьбанк"""
22000605;"ПАО ""Промсвязьбанк"""
22000606;"ПАО ""Промсвязьбанк"""
22015301;"ПАО ""Промсвязьбанк"""
22015302;"ПАО ""Промсвязьбанк"""
22017901;"ПАО ""Промсвязьбанк"""
62924402;"ПАО ""Промсвязьбанк"""
22001201;"ООО КБ ""Геобанк"""
22001202;"ООО КБ ""Геобанк"""
22001203;"ООО КБ ""Геобанк"""
22001204;"ООО КБ ""Геобанк"""
22001205;"ООО КБ ""Геобанк"""
22001206;"ООО КБ ""Геобанк"""
22001207;"ООО КБ ""Геобанк"""
22001208;"ООО КБ ""Геобанк"""
22001209;"ООО КБ ""Геобанк"""
901200;"ООО КБ ""Геобанк"""
901201;"ООО КБ ""Геобанк"""
901202;"ООО КБ ""Геобанк"""
900500;"ПАО ""РГС Банк"""
220005;"ПАО ""РГС Банк"""
900501;"ПАО ""РГС Банк"""
900502;"ПАО ""РГС Банк"""
22000501;"ПАО ""РГС Банк"""
22000502;"ПАО ""РГС Банк"""
22000503;"ПАО ""РГС Банк"""
22000504;"ПАО ""РГС Банк"""
22000505;"ПАО ""РГС Банк"""
22000506;"ПАО ""РГС Банк"""
22000507;"ПАО ""РГС Банк"""
22000508;"ПАО ""РГС Банк"""
22000509;"ПАО ""РГС Банк"""
220007;"АО ""ГЕНБАНК"""
900701;"АО ""ГЕНБАНК"""
22000701;"АО ""ГЕНБАНК"""
22000702;"АО ""ГЕНБАНК"""
22000703;"АО ""ГЕНБАНК"""
22000704;"АО ""ГЕНБАНК"""
22000705;"АО ""ГЕНБАНК"""
220017;"ПАО КБ ""Центр-инвест"""
22001701;"ПАО КБ ""Центр-инвест"""
22001702;"ПАО КБ ""Центр-инвест"""
22001704;"ПАО КБ ""Центр-инвест"""
22001705;"ПАО КБ ""Центр-инвест"""
22001706;"ПАО КБ ""Центр-инвест"""
676347;"ПАО КБ ""Центр-инвест"""
901700;"ПАО КБ ""Центр-инвест"""
220008;"АО ""АБ ""РОССИЯ"""
22000801;"АО ""АБ ""РОССИЯ"""
22000802;"АО ""АБ ""РОССИЯ"""
22000803;"АО ""АБ ""РОССИЯ"""
22000804;"АО ""АБ ""РОССИЯ"""
22000805;"АО ""АБ ""РОССИЯ"""
22000806;"АО ""АБ ""РОССИЯ"""
22000807;"АО ""АБ ""РОССИЯ"""
22000809;"АО ""АБ ""РОССИЯ"""
900800;"АО ""АБ ""РОССИЯ"""
220002;РНКБ Банк (ПАО)
22000201;РНКБ Банк (ПАО)
22000202;РНКБ Банк (ПАО)
22000203;РНКБ Банк (ПАО)
22000204;РНКБ Банк (ПАО)
22000205;РНКБ Банк (ПАО)
22000206;РНКБ Банк (ПАО)
22000207;РНКБ Банк (ПАО)
22000208;РНКБ Банк (ПАО)
22000209;РНКБ Банк (ПАО)
22000210;РНКБ Банк (ПАО)
22000211;РНКБ Банк (ПАО)
22000212;РНКБ Банк (ПАО)
22000213;РНКБ Банк (ПАО)
900200;РНКБ Банк (ПАО)
220076;РНКБ Банк (ПАО)
22007601;РНКБ Банк (ПАО)
22007602;РНКБ Банк (ПАО)
22007603;РНКБ Банк (ПАО)
22007604;РНКБ Банк (ПАО)
22007605;РНКБ Банк (ПАО)
22007606;РНКБ Банк (ПАО)
22007609;РНКБ Банк (ПАО)
907601;РНКБ Банк (ПАО)
901001;"АО ""ВБРР"""
901002;"АО ""ВБРР"""
22001001;"АО ""ВБРР"""
22001002;"АО ""ВБРР"""
22001003;"АО ""ВБРР"""
22001004;"АО ""ВБРР"""
22001005;"АО ""ВБРР"""
62915700;"АО ""ВБРР"""
220010;"АО ""ВБРР"""
901000;"АО ""ВБРР"""
901005;"АО ""ВБРР"""
220488;"АО ""СМП Банк"""
948801;"АО ""СМП Банк"""
22048801;"АО ""СМП Банк"""
22048802;"АО ""СМП Банк"""
22048803;"АО ""СМП Банк"""
22048804;"АО ""СМП Банк"""
22048805;"АО ""СМП Банк"""
22048806;"АО ""СМП Банк"""
22048807;"АО ""СМП Банк"""
948800;"АО ""СМП Банк"""
900901;"ПАО ""ЧЕЛИНДБАНК"""
22000901;"ПАО ""ЧЕЛИНДБАНК"""
22000902;"ПАО ""ЧЕЛИНДБАНК"""
22000904;"ПАО ""ЧЕЛИНДБАНК"""
900900;"ПАО ""ЧЕЛИНДБАНК"""
220015;"АО ""АЛЬФА-БАНК"""
901502;"АО ""АЛЬФА-БАНК"""
22001501;"АО ""АЛЬФА-БАНК"""
22001502;"АО ""АЛЬФА-БАНК"""
22001505;"АО ""АЛЬФА-БАНК"""
901501;"АО ""АЛЬФА-БАНК"""
901503;"АО ""АЛЬФА-БАНК"""
901500;"АО ""АЛЬФА-БАНК"""
901300;"ПАО ""Запсибкомбанк"""
220013;"ПАО ""Запсибкомбанк"""
901301;"ПАО ""Запсибкомбанк"""
901302;"ПАО ""Запсибкомбанк"""
901303;"ПАО ""Запсибкомбанк"""
22001301;"ПАО ""Запсибкомбанк"""
22001302;"ПАО ""Запсибкомбанк"""
22001303;"ПАО ""Запсибкомбанк"""
220020;"ПАО ""МИнБанк"""
902001;"ПАО ""МИнБанк"""
22002001;"ПАО ""МИнБанк"""
22002002;"ПАО ""МИнБанк"""
22002003;"ПАО ""МИнБанк"""
